University (zh),University (eng),University Latitude,University Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
國立臺北科技大學,National Taipei University of Technology,25.0422,121.53551000000002,Fitness Center @HowardPlaza Hotel,25.03703,121.543346,Gym / Fitness Center
國立臺北科技大學,National Taipei University of Technology,25.0422,121.53551000000002,CrossFit Ba Ke Si,25.048226,121.528159,Gym
國立臺北科技大學,National Taipei University of Technology,25.0422,121.53551000000002,葆體瑜珈,25.04843544924957,121.53318318870717,Sporting Goods Shop
國立臺北藝術大學,Taipei National University of the Arts,25.129929999999998,121.46618000000001,ASUS n PEGATRON Staff Gymnasium,25.124892065729522,121.47110871122241,Gym
國立臺南大學,National University of Tainan,22.98507,120.20799,深呼吸健身房,22.993635457624258,120.21048337999447,Gym / Fitness Center
國立臺北教育大學,National Taipei University of Education,25.0246,121.5447,Taipei DaAn Sports Center (臺北市大安運動中心),25.020867,121.54598,Gym / Fitness Center
國立臺北教育大學,National Taipei University of Education,25.0246,121.5447,World Gym,25.03328689546436,121.54385927344298,Gym / Fitness Center
國立臺北教育大學,National Taipei University of Education,25.0246,121.5447,遠東健身中心 The Health Club,25.02631574799682,121.54898961268296,Gym / Fitness Center
國立臺北教育大學,National Taipei University of Education,25.0246,121.5447,大安運動中心游泳池 Daan Sports Center Swimming Pool,25.020410101192414,121.5456634325735,Gym Pool
國立臺北教育大學,National Taipei University of Education,25.0246,121.5447,Crossfit Loga,25.02503,121.538292,Gym
國立臺北教育大學,National Taipei University of Education,25.0246,121.5447,Core Space,25.03198908647488,121.5437459486393,Gym / Fitness Center
國立臺北教育大學,National Taipei University of Education,25.0246,121.5447,Soulfit (健身魂),25.03153,121.539301,Gym
國立臺北教育大學,National Taipei University of Education,25.0246,121.5447,NTU Sports Center (臺灣大學綜合體育館 NTU Sports Center),25.02154939712612,121.53575422214841,College Gym
國立臺北教育大學,National Taipei University of Education,25.0246,121.5447,Yaya Yoga,25.025049622919244,121.54991789186352,Yoga Studio
國立臺北教育大學,National Taipei University of Education,25.0246,121.5447,做瑜珈 Zuoyoga,25.03112260748644,121.54531560287856,Yoga Studio
國立臺中教育大學,National Taichung University of Education,24.1434,120.67178999999999,Hotel One Gym,24.149901219430127,120.66497943969976,Gym
國立體育大學,National Taiwan Sport University,25.0357,121.38526,國立體院體育館,25.03184839,121.38501505,College Gym
國立臺北護理健康大學,National Taipei University of Nursing and Health Sciences,25.11755,121.52134,World Gym Fitness,25.119678066563104,121.5309065741524,Gym / Fitness Center
國立臺北護理健康大學,National Taipei University of Nursing and Health Sciences,25.11755,121.52134,TYPA - Taipei Youth Program Association,25.11649235382294,121.52910259819792,College Gym
國立臺北護理健康大學,National Taipei University of Nursing and Health Sciences,25.11755,121.52134,Taipei American School (台北美國學校),25.116623792426893,121.52942925897584,School
國立金門大學,National Quemoy University,24.44835,118.32453999999998,多功能健康活動中心,24.4478327409814,118.32156361576864,College Gym
國立臺北商業大學,National Taipei University of  Business,25.04194,121.52553,Taipei Jhong Jheng People Sports Center (臺北市中正運動中心),25.038368391738185,121.51944501952084,Gym / Fitness Center
國立臺北商業大學,National Taipei University of  Business,25.04194,121.52553,成功高中運動中心,25.04338871467592,121.52309469722212,Gym / Fitness Center
