Serial Number,ID,Public/Private,System,Name,Eng. Name,Postal Code,Latitude,Longitude,Address,City,County,Neighborhood,County (zh)
92,1044,Private,技專校院,聖約翰科技大學,St. John’s University,25135,25.22698,121.45168,"No. 499, Sec 4, Dan Jin Rd., Tamsui District, New Taipei City, 251, Taiwan",New Taipei City,New Taipei City,Tamsui District,新北市
93,1045,Private,技專校院,嶺東科技大學,Ling Tung University,40852,24.13776,120.60961,"No. 1, Ling Dong Rd., Nantun District, Taichung City, 408, Taiwan",Taichung City,Taichung City,Nantun District,臺中市
94,1046,Private,技專校院,中國科技大學,China University of Technology,11695,24.99926,121.55541,"No. 56, Sec 3, Xing Long Rd., Wenshan District, Taipei City, 116, Taiwan",Taipei City,Taipei City,Wenshan District,臺北市
95,1047,Private,技專校院,中臺科技大學,Central Taiwan University of Science and Technology,40601,24.1702206,120.7335374,"No. 660, Buzi Rd., Beitun District, Taichung City, 406, Taiwan",Taichung City,Taichung City,Beitun District,臺中市
96,1048,Private,一般大學,亞洲大學,Asia University,41354,24.04702,120.68468,"No. 500, Liu Feng Rd., Wufeng District, Taichung City, 413, Taiwan",Taichung City,Taichung City,Wufeng District,臺中市
97,1049,Private,一般大學,開南大學,Kainan University,33857,25.01078,121.27156,"No. 1, Kai Nan Rd., Luzhu District, Taoyuan City, 338, Taiwan",Taoyuan City,Taoyuan City,Luzhu District,桃園市
98,1050,Private,一般大學,佛光大學,Fo Guang University,26247,24.81618,121.72191,"No. 160, Lin Wei Rd., Lin Mei Vil., Jiaoxi Township, Yilan County 262, Taiwan",Jiaoxi Township,Yilan County,Lin Mei Vil.,宜蘭縣
99,1051,Private,技專校院,台南家專學校財團法人台南應用科技大學,Tainan School of Home Economics Foundation at Tainan University of Technology,71002,23.03932,120.23859,"No. 529, Jhong Jheng Rd., Yongkang District, Tainan City, 710, Taiwan",Tainan City,Tainan City,Yongkang District,臺南市
100,1052,Private,技專校院,遠東科技大學,Far East University,74448,23.06483,120.29482,"No. 49, Jhong Hua Rd., Sinshih District, Tainan City, 744, Taiwan",Tainan City,Tainan City,Sinshih District,臺南市
101,1053,Private,技專校院,光宇學校財團法人元培醫事科技大學,Yuanpei University of Medical Technology,30015,24.77784,120.94038,"No. 306, Yuan Pei St., Siangshan District, Hsinchu City, 300, Taiwan",Hsinchu City,Hsinchu City,Siangshan District,新竹市
102,1054,Private,技專校院,景文科技大學,Jinwen University of Science and Technology,23154,24.95199,121.50928,"No. 99, An Zhong Rd., Xindian District, New Taipei City, 231, Taiwan",New Taipei City,New Taipei City,Xindian District,新北市
103,1055,Private,技專校院,中華醫事科技大學,Chung Hwa University of Medical Technology,71703,22.96084,120.24325,"No. 89, Wun Hua 1st St., Rende District, Tainan City, 717, Taiwan",Tainan City,Tainan City,Rende District,臺南市
104,1056,Private,技專校院,東南科技大學,Tungnan University,22202,25.00444,121.60474,"No. 152, Sec 3, Bei Shen Rd., Shenkeng District, New Taipei City, 222, Taiwan",New Taipei City,New Taipei City,Shenkeng District,新北市
105,1057,Private,技專校院,德明財經科技大學,Takming University of Science and Technology,11451,25.08649,121.56562,"No. 56, Sec 1, Huan Shan Rd., Neihu District, Taipei City, 114, Taiwan",Taipei City,Taipei City,Neihu District,臺北市
106,1058,Private,一般大學,明道學校財團法人明道大學,MINGDAO UNIVERSITY,52345,23.86935,120.49473,"No. 369, Wen Hua Rd., Yuan Pu Vil., Pitou Township, Changhua County 523, Taiwan",Pitou Township,Changhua County,Yuan Pu Vil.,彰化縣
107,1060,Private,技專校院,南開科技大學,Nan Kai University of Technology,54243,23.97915,120.69688,"No. 568, Jhong Jheng Rd., Fu Liao Vil., Caotun Township, Nantou County 542, Taiwan",Caotun Township,Nantou County,Fu Liao Vil.,南投縣
108,1061,Private,技專校院,中華學校財團法人中華科技大學,China University of Science and Technology,11581,25.03359,121.60992,"No. 245, Sec 3, Academia Rd., Nangang District, Taipei City, 115, Taiwan",Taipei City,Taipei City,Nangang District,臺北市
109,1062,Private,技專校院,僑光科技大學,Overseas Chinese University,40721,24.18911,120.64319,"No. 100, Qiao Guang Rd., Xitun District, Taichung City, 407, Taiwan",Taichung City,Taichung City,Xitun District,臺中市
110,1063,Private,技專校院,廣亞學校財團法人育達科技大學,Yu Da University of Science and Technology,36143,24.64964,120.84259,"No. 168, Xue Fu Rd., Tan Wen Vil., Zaoqiao Township, Miaoli County 361, Taiwan",Zaoqiao Township,Miaoli County,Tan Wen Vil.,苗栗縣
111,1064,Private,技專校院,美和學校財團法人美和科技大學,Meiho University,91202,22.60368,120.56073,"No. 23, Ping Guang Rd., Nei Tian Vil., Neipu Township, Pingtung County 912, Taiwan",Neipu Township,Pingtung County,Nei Tian Vil.,屏東縣
112,1065,Private,技專校院,吳鳳科技大學,WuFeng University,62153,23.53517,120.4363,"No. 117, Sec 2, Jian Guo Rd., Wen Long Vil., Minxiong Township, Chiayi County 621, Taiwan",Minxiong Township,Chiayi County,Wen Long Vil.,嘉義縣
113,1066,Private,技專校院,環球學校財團法人環球科技大學,TransWorld University,64063,23.68046,120.55553,"No. 1221, Jhen Nan Rd., Jia Dong Vil., Douliou City, Yunlin County 640, Taiwan",Douliou City,Yunlin County,Jia Dong Vil.,雲林縣
114,1067,Private,一般大學,台灣首府學校財團法人台灣首府大學,Taiwan Shoufu University,72153,23.19198,120.27069,"No. 168, 南勢里, Madou District, Tainan City, 721, Taiwan",Tainan City,Tainan City,Madou District,臺南市
115,1068,Private,技專校院,中州學校財團法人中州科技大學,Chung Chou University of Science and Technology,51003,23.95774,120.60451,"No. 6, Lane 2, Sec 3, Shan Jiao Rd., Zhen Xing Vil., Yuanlin City, Changhua County 510, Taiwan",Yuanlin City,Changhua County,Zhen Xing Vil.,彰化縣
116,1069,Private,技專校院,修平學校財團法人修平科技大學,Hsiuping University of Science and Technology,41280,24.09544,120.71359,"No. 11, Gong Ye Rd., Dali District, Taichung City, 412, Taiwan",Taichung City,Taichung City,Dali District,臺中市
117,1070,Private,技專校院,長庚學校財團法人長庚科技大學,Chang Gung University of Science and Technology,33303,25.03053,121.38956,"No. 261, Wen Hua 1st Rd., Guishan District, Taoyuan City, 333, Taiwan",Taoyuan City,Taoyuan City,Guishan District,桃園市
118,1071,Private,技專校院,城市學校財團法人臺北城市科技大學,Taipei City University of Science and Technology,11202,25.13133,121.46806,"No. 2, Xue Yuan Rd., Beitou District, Taipei City, 112, Taiwan",Taipei City,Taipei City,Beitou District,臺北市
